;title;publish_date;views_cnt;paragraph_cnt;images_cnt;strong_cnt;quote_cnt;list_cnt;list_items_cnt;url;r_flesch_grade;r_flesch_easy;r_liau;r_smog;r_auto;r_lix;level
762;СПбГПУ принял участие в юбилейном «Российском Промышленнике»;2011-10-05;356;16;7;31;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/spbgpu_prinyal_uchastie_v_yubileynom_rossiyskom_promyshlennike/;20.308931119167344;-16.05187288036487;18.523379721669976;30.184780569965994;22.828068588469186;93.80294702373992;postgraduate
763;В Петербурге прошел форум в области управления проектами;2011-09-21;534;11;7;1;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/v_peterburge_proshel_forum_v_oblasti_upravleniya_proektami/;17.613090909090904;-6.40209090909093;17.9;26.57346131258136;21.078645454545452;92.0909090909091;postgraduate
764;Первый практический форум «Обмен передовым опытом в области управления проектами»;2011-09-13;287;6;0;6;0;1;5;https://www.spbstu.ru/media/news/nauka_i_innovatsii/pervyy_prakticheskiy_forum_obmen_peredovym_opytom_v_oblasti_upravleniya_proektami/;22.510008460236893;-25.3006175972927;19.951725888324873;32.130923719036936;25.230968274111675;103.89932318104908;postgraduate
765;Подведены итоги конференции «Современные металлические материалы и технологии»;2011-06-30;279;10;16;0;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/podvedeny_itogi_konferentsii_sovremennye_metallicheskie_materialy_i_tekhnologii/;21.401261261261258;-4.780315315315306;13.966171171171176;30.888606756250628;19.45043693693694;94.65765765765767;mixed
766;В  СПбГПУ открыта международная исследовательская  лаборатория;2011-06-24;430;35;0;25;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/v_spbgpu_otkryta_mezhdunarodnaya_issledovatelskaya_laboratoriya/;13.982886420525656;15.604266270337916;13.098856382978724;24.214974653411083;15.013228723404254;78.63360450563204;mixed
767;«Современные металлические материалы и технологии» в СПбГПУ;2011-06-23;303;24;0;1;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/sovremennye_metallicheskie_materialy_i_tekhnologii_v_spbgpu/;18.908359375;2.0728906250000136;13.735429687500002;29.289367725722116;17.9535390625;88.8359375;postgraduate
768;Энергия мысли-2011;2011-06-22;465;41;0;2;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/energiya_mysli_2011/;12.299354265402844;20.5011797562627;12.052938388625599;21.834840731900837;13.216628173662833;78.46013879485443;university
769;IX Международная научно-техническая конференция «Современные металлические материалы и технологии»;2011-06-16;214;5;0;1;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/ix_mezhdunarodnaya_nauchno_tekhnicheskaya_konferentsiya_sovremennye_metallicheskie_materialy_i_tekhn/;21.664666666666665;-26.087666666666678;20.376666666666672;33.36602017048254;25.034466666666667;94.0;postgraduate
770;Симпозиум «Энергия мысли» в Политехническом университете;2011-06-09;248;6;0;2;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/simpozium_energiya_mysli_v_politekhnicheskom_universitete/;15.042873134328357;-7.798208955223885;17.845373134328355;24.66273044584855;19.487180970149247;88.39179104477611;postgraduate
771;Подведены итоги международной конференции «Экодизайн-2011»;2011-05-27;498;25;21;27;0;4;14;https://www.spbstu.ru/media/news/nauka_i_innovatsii/podvedeny_itogi_mezhdunarodnoy_konferentsii_ekodizayn_2011/;15.006342644320299;11.960288640595905;13.773002793296087;23.937482077439643;16.13913910614525;82.87504655493483;mixed
772;Форум инженерных профессий в СПбГПУ;2011-04-30;1826;8;20;0;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/forum_inzhenernykh_professiy_spbgpu/;16.579417445482864;11.768535825545172;13.615093457943928;26.37625812124972;16.99542242990654;88.81370716510904;postgraduate
773;Открытое Заседание «Инженерного Клуба» - конференция Санкт-Петербургского регионального отделения «Союза машиностроителей России».;2011-04-29;294;16;4;2;0;0;3;https://www.spbstu.ru/media/news/nauka_i_innovatsii/otkrytoe_zasedanie_inzhenernogo_kluba_konferentsiya_sankt_peterburgskogo_regionalnogo_otdeleniya_soyu/;16.387968490098235;-7.392458180334586;18.303414932680546;26.307650411417338;20.709579276904243;87.65618428898722;postgraduate
774;Сколково и модернизация экономики: что нового? О буднях рабочих групп Комиссии по модернизации экономики и технологическому развитию экономики России.;2011-04-05;360;11;1;1;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/skolkovo_i_modernizatsiya_ekonomiki_chto_novogo_o_budnyakh_rabochikh_grupp_komissii_po_modernizatsii/;16.402573219409756;-4.070920071816744;17.322931180968567;25.84047140116558;19.83891961494686;86.26871964219875;postgraduate
